"ENMT4","Energisa MT","900","70,00","-8,53%"
"CEDO3","Cedro Têxtil","900","28,00","-9,68%"
"MNPR3","Minupar","900","10,21","-7,18%"
"AZEV11","Azevedo & Travassos","900","0,18","-5,26%"
"FESA3","Ferbasa","800","14,20","-1,11%"
"NEXP3","Brasil Brokers","800","4,19","+2,44%"
"LUXM4","Trevisa","600","14,00","-6,60%"
"CTSA3","Santanense","600","2,29","+0,44%"
"CEDO4","Cedro Têxtil","500","26,10","-6,59%"
"TELB3","Telebras","500","12,80","-1,16%"
"BAUH4","Excelsior","400","78,75","+0,36%"
"UNIP5","Unipar","400","55,16","+0,00%"
"SNSY3","Sansuy","400","11,12","-0,09%"
"DEXP4","Dexxos","400","10,40","-2,44%"
"DOHL3","Döhler","400","7,00","+39,44%"
"HETA4","Hercules","400","5,39","-0,19%"
"CGAS5","Comgás","300","118,05","-1,62%"
"RPAD5","Alfa Holdings","300","8,65","+0,58%"
"MAPT3","Cemepe","300","4,22","-11,90%"
"CGAS3","Comgás","200","108,00","+0,00%"
"HBTS5","Habitasul","200","37,86","+0,42%"
"CGRA3","Grazziotin","200","25,00","+0,00%"
"GEPA3","Rio Paranapanema Energia","200","24,63","+0,00%"
"RPAD6","Alfa Holdings","200","9,00","+4,05%"
"IGTI4","Jereissati Participações","200","8,90","+0,34%"
"IGTI4","Iguatemi","200","8,90","+0,34%"
"PLAS3","Plascar","200","5,60","+0,00%"
"WLMM4","WLM","100","31,00","+0,75%"
"TEKA4","Teka","100","27,88","-3,86%"
"EQMA3B","Equatorial Maranhão","100","26,01","-1,48%"
"CSRN6","COSERN","100","24,72","-0,12%"
"BMIN4","Banco Mercantil de Investimentos","100","15,79","+2,53%"
"EALT3","Electro Aço Altona","100","11,97","+0,00%"
"GSHP3","General Shopping & Outlets","100","10,50","+0,00%"
"BALM4","Baumer","100","9,95","+1,95%"
"CTNM3","Coteminas","100","8,68","+3,33%"
"NORD3","Nordon","100","8,20","+0,00%"
"PSVM11","PSVM11","100","5,20","-5,63%"
"BMKS3","Monark","37","335,10","-4,26%"
"CSRN3","COSERN","1.600","23,59","+2,17%"
"AVLL3","Alphaville","1.100","3,45","+0,88%"
"GEPA4","Rio Paranapanema Energia","1.000","24,61","+0,20%"
"PEAB3","Participações Aliança da Bahia","800","42,50","+0,00%"
"BGIP4","Banese","500","22,30","+1,36%"
"EUCA3","Eucatex","500","15,00","-0,27%"
"BMEB3","Banco Mercantil do Brasil","400","25,19","+1,57%"
"BGIP3","Banese","400","23,85","+2,10%"
"BSLI3","Banco de Brasília","400","9,90","+3,12%"
"PEAB4","Participações Aliança da Bahia","300","47,66","-4,09%"
"WLMM3","WLM","200","23,20","-4,13%"
"COCE3","Coelce","100","35,20","-0,03%"
"CTKA4","Karsten","100","17,50","-0,06%"
"MGEL4","Mangels","2.100","13,00","-1,89%"
"CLSC3","Celesc","1.400","67,00","+1,50%"
"JOPA3","Josapar","900","21,00","+0,00%"
"MRSA3B","MRS Logística","600","27,17","+0,00%"
"MWET4","Wetzel","500","8,00","-5,33%"
"CEEB5","COELBA","400","39,00","+5,15%"
"BRKM6","Braskem","400","14,00","-7,89%"
"ESTR4","Estrela","400","2,05","+2,50%"
"BNBR3","Banco do Nordeste","300","116,50","+0,00%"
"PATI3","Panatlântica","200","26,50","-0,97%"
"CEED3","CEEE D","200","15,21","-0,59%"
"BSLI4","Banco de Brasília","100","10,71","-0,19%"
"BDLL4","Bardella","100","9,61","+0,10%"
"RPAD3","Alfa Holdings","800","9,00","+0,00%"
"AHEB3","São Paulo Turismo","100","25,31","+1,44%"
"BRSR5","Banrisul","100","15,00","+0,00%"
"DASA11","DASA11","100","1,29","-0,77%"
"MRSA5B","MRS Logística","300","27,16","-3,21%"
"MRSA6B","MRS Logística","200","27,16","+1,34%"
"PTNT3","Pettenati","400","10,05","+0,00%"
"CSRN5","COSERN","300","23,00","-7,85%"
"MWET3","Wetzel","100","9,16","-17,55%"
"AFLT3","Afluente T","200","7,17","-1,10%"
"BALM3","Baumer","100","10,50","+0,00%"
"MERC4","Mercantil do Brasil Financeira","1.600","8,10","+0,00%"
"MOAR3","Monteiro Aranha","100","398,00","+0,76%"
"EKTR3","Elektro","100","38,69","+1,82%"
